step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,,,,,,Part 1,The initial planning process????,,,,,,,,
2,hssb-mockup-1,0.4975897674849475,0.4925490117267778,1.1250000000000002,,Why was the HSSB constructed?,"The HSSB was the solution to a couple of problems. It was built to meet the rising enrollment rates, expanding humanities-related departments, and to replace some of the temporary buildings back from the 1940s and 1950s.",,Want to learn more?,blank_template-learn-more.md,Go deeper,blank_template-go-deeper.md,,,
3,site-map,0.47799076505710514,0.28979609231986203,1.8662399999999997,,How was the HSSB planned?,"UCSB's Office of Budget and Planning initiated planning for the HSSB in 1989, around the same time as the 1990 LRDP. They commissioned the Zimmer-Gunsul-Frasca Partnership (ZGF), an architectural firm known for their unique approach to building science-related buildings.",,Want to learn more?,blank_template-step3-layer1.md,,,,,
4,,,,,,Part 2,NAGPRA and UCSB's Noncompliance,,,,,,,,
5,screenshot-20260528-at-11018-pm,0.4930775111740453,0.5054369267454831,1.08,,Isn't there a basement facility of Indigenous artifacts?,"There is! ",,Learn more,blank_template-step5-layer1.md,,,,,
6,img4547,0.5,0.5,1,,"***Why do these Indigenous sacred objects have to be repatriated? ","This process of repatriation is federally required under the Native American Graves Protection and Repatriation Act (NAGPRA). 

As UCSB students celebrated the start of the 1990-1991 school year, the United States Senate passed H.R.5237—also known as NAGPRA. This law, enacted in November of 1990, addressed the centuries-long history of federally-funded institutions possessing indigenous objects such as human remains, funerary objects, sacred objects, and more. NAGPRA directed these institutions to return these objects to their original communities or, if newly excavated, to protect such objects and inventory them before returning them. ",,Learn more,blank_template-step6-layer1.md,,,,,
