step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,,0.5,0.5,1,,Why was the ILP built?,,,,,,,,,
2,,0.5,0.5,1,,How was the ILP planned?,,,,,,,,,
